<<<<<<< HEAD
﻿Gender,Marital_Status,Dependents,Education,Self_Employed,Applicant_Income,Loan_Amount,Loan_Term,Cibil_score,Assets,Loan_Status
1,1,1,1,0,550000,150000,360,750,500000,1
0,0,0,1,0,600000,120000,240,720,400000,1
1,1,2,0,1,520000,180000,180,650,300000,0
1,1,3,1,0,800000,250000,360,800,700000,1
0,0,0,1,1,510000,100000,120,680,350000,0
1,1,1,1,0,700000,200000,300,770,600000,1
0,1,2,1,0,650000,220000,360,740,550000,1
1,0,0,0,1,530000,140000,180,660,250000,0
1,1,3,1,0,900000,300000,360,820,800000,1
0,0,1,1,0,580000,130000,240,700,450000,1
=======
﻿Gender,Marital_Status,Dependents,Education,Self_Employed,Applicant_Income,Loan_Amount,Loan_Term,Cibil_score,Assets,Loan_Status
1,1,1,1,0,550000,150000,360,750,500000,1
0,0,0,1,0,600000,120000,240,720,400000,1
1,1,2,0,1,520000,180000,180,650,300000,0
1,1,3,1,0,800000,250000,360,800,700000,1
0,0,0,1,1,510000,100000,120,680,350000,0
1,1,1,1,0,700000,200000,300,770,600000,1
0,1,2,1,0,650000,220000,360,740,550000,1
1,0,0,0,1,530000,140000,180,660,250000,0
1,1,3,1,0,900000,300000,360,820,800000,1
0,0,1,1,0,580000,130000,240,700,450000,1
>>>>>>> 82ae46a (Initial commit)
